City,Latitud,Longitud,Temperature,Humidity,Cloudiness,Wind Speed
Asheboro,35.71,-79.81,27.14,83,40,2.09
Presidencia Roque Sáenz Peña,-26.79,-60.44,13.28,46,98,2.27
Morant Bay,17.88,-76.41,30.55,74,40,2.1
Coahuayana Viejo,18.73,-103.68,25.0,83,75,3.1
Catemaco,18.42,-95.12,29.0,83,75,5.1
Mayo,38.89,-76.51,29.3,66,1,4.1
Shakawe,-18.37,21.85,10.78,45,0,2.18
Manzanillo,20.34,-77.12,27.22,71,12,8.15
Narsaq,60.92,-46.05,9.0,76,100,4.1
Talnakh,69.49,88.4,20.0,56,70,9.0
Airai,-8.93,125.41,16.99,55,19,2.02
San Patricio,19.22,-104.7,30.0,74,40,2.17
Natal,-5.79,-35.21,24.0,78,40,3.6
Olafsvik,64.89,-23.71,10.24,76,94,3.51
Saint-Honoré,48.53,-71.08,18.92,88,75,1.5
Leshukonskoye,64.9,45.76,10.84,66,97,3.81
Vardø,70.37,31.11,10.8,91,74,5.34
Khovd,48.01,91.64,13.89,50,80,1.72
Tuatapere,-46.13,167.68,11.54,86,90,1.58
Ancud,-41.87,-73.82,7.89,93,90,5.1
Kungälv,57.87,11.98,13.89,95,0,0.45
Beni Mazar,28.5,30.8,26.32,53,0,5.13
Wukari,7.85,9.78,22.4,95,98,1.78
Kawambwa,-9.79,29.08,16.14,62,13,4.24
Mandera,3.94,41.87,25.98,66,0,6.68
Kampong Thom,12.71,104.89,27.85,80,100,3.48
Salalah,17.02,54.09,28.0,94,75,2.1
Broome,42.25,-75.83,22.27,69,90,2.1
Bethel,41.37,-73.41,23.91,73,98,2.9
Kenai,60.55,-151.26,19.0,52,75,2.1
Djibouti,11.5,42.5,32.0,49,75,4.1
Vila,42.03,-8.16,19.44,85,0,0.86
Saint Paul Harbor,57.79,-152.41,17.0,63,40,6.2
Eureka,40.8,-124.16,17.93,29,2,2.02
Iqaluit,63.75,-68.51,10.77,81,90,2.1
Kokkola,63.84,23.13,14.53,93,0,3.1
Palakkad,10.78,76.65,23.0,94,40,5.1
Hambantota,6.12,81.12,25.0,100,40,4.1
Bengkulu,-3.8,102.27,25.0,88,100,3.82
Davila,18.47,120.58,27.0,94,90,1.5
Zaranj,30.97,61.88,30.0,28,0,14.9
Somain,50.36,3.28,17.56,76,0,3.02
Nova Olinda do Norte,-3.89,-59.09,24.63,53,0,0.55
Kinsale,51.71,-8.53,15.0,100,75,4.6
Alghero,40.56,8.32,25.0,88,18,1.5
Leningradskiy,69.38,178.42,5.79,79,100,7.01
Calvià,39.57,2.51,25.62,57,0,1.5
Ust-Maya,60.42,134.53,20.7,42,53,0.7
Bandarbeyla,9.49,50.81,26.18,73,0,12.01
Bella Union,-30.28,-57.6,8.1,93,0,3.68
Zhigansk,66.77,123.37,13.5,63,0,6.1
Arona,28.1,-16.68,20.55,73,0,6.7
Kununurra,-15.77,128.73,24.0,27,0,5.7
Lompoc,34.64,-120.46,18.33,72,2,7.2
San Blas,21.52,-105.27,22.0,100,75,1.33
Acapulco de Juárez,16.86,-99.89,31.0,70,40,1.5
Pāndoh,31.68,77.05,24.13,70,24,0.79
Mahébourg,-20.41,57.7,21.0,88,75,2.1
Ratnagiri,16.98,73.3,26.83,82,100,1.08
Arlit,18.74,7.39,35.16,16,51,2.51
Lajas,18.05,-67.06,25.48,93,100,5.36
Suffolk,40.87,-72.8,27.06,83,1,3.6
Okhotsk,59.38,143.3,18.1,50,0,2.22
Yumaguzino,52.9,56.39,15.04,69,51,2.2
Najrān,17.49,44.13,28.0,54,40,5.1
Esim,4.87,-2.24,23.34,87,35,3.24
Fort Thomas,39.08,-84.45,20.66,94,90,1.5
Lufilufi,-13.87,-171.6,23.89,94,14,3.58
Jamestown,42.1,-79.24,21.79,60,1,1.5
Mount Gambier,-37.83,140.77,8.0,93,65,2.6
Kurumkan,54.3,110.3,18.74,82,97,0.54
Redmond,47.67,-122.12,29.75,46,6,0.89
Inírida,3.87,-67.92,24.27,87,0,0.57
Upernavik,72.79,-56.15,6.6,74,56,1.32
Labuhan,-6.88,112.21,25.22,75,0,4.74
Artyom,40.47,50.33,18.0,82,0,1.0
Inyonga,-6.72,32.07,17.67,58,51,2.03
Beloha,-25.17,45.05,15.26,89,0,1.87
Nuevo Progreso,23.17,-97.95,28.87,84,72,0.45
Jinchang,38.5,102.17,27.56,21,100,1.66
Porto-Novo,6.5,2.6,23.69,85,100,3.43
Sosnovo-Ozerskoye,52.52,111.54,16.21,95,100,1.85
Merauke,-8.47,140.33,26.49,71,51,6.26
San Quintín,30.48,-115.95,22.63,70,0,5.25
Tsimmerbude,54.67,20.13,15.0,82,75,5.0
Saint-Joseph,-21.37,55.62,16.03,72,75,3.1
Northam,51.03,-4.22,17.24,64,0,4.47
Sinnamary,5.38,-52.95,26.13,79,6,2.1
Almaznyy,48.04,40.05,18.0,55,100,2.0
Half Moon Bay,37.46,-122.43,21.46,87,90,5.1
Carnarvon,-24.87,113.63,17.0,88,0,5.1
Manggar,-2.88,108.27,26.23,79,100,4.91
Maralal,1.1,36.7,13.61,87,0,3.02
Krasnosel'kup,65.7,82.47,16.23,96,100,4.48
Honiara,-9.43,159.95,31.0,66,75,3.6
Ko Samui,9.54,99.94,28.0,74,20,3.1
Necochea,-38.55,-58.74,7.22,80,100,4.47
Koslan,63.46,48.9,13.47,58,100,3.16
Zhangjiakou,40.81,114.88,23.16,73,100,1.33
Sur,22.57,59.53,32.24,59,23,3.29
Santa Maria,-29.68,-53.81,10.0,81,1,3.6
Kyren,51.68,102.14,19.18,64,32,0.84
Auki,-8.77,160.7,28.28,79,47,1.37
Revda,56.8,59.93,18.0,88,100,3.0
Erenhot,43.65,111.98,25.54,51,25,4.57
Hamilton,39.18,-84.53,20.83,94,90,1.5
Meulaboh,4.14,96.13,25.84,78,96,1.97
Port Lincoln,-34.73,135.87,13.09,60,56,5.7
Acarí,-15.43,-74.62,16.72,59,57,1.85
Porto Santo,33.07,-16.34,20.0,72,75,3.6
Dingle,11.0,122.67,27.88,80,99,3.6
The Valley,18.22,-63.06,28.03,83,20,6.2
Vila Velha,-20.33,-40.29,23.0,83,75,6.7
Ostrovnoy,68.05,39.51,10.25,85,65,6.23
North Platte,41.12,-100.77,24.94,57,20,2.6
Kärdla,59.0,22.75,14.17,93,92,1.36
Hasaki,35.73,140.83,23.41,94,75,1.5
Suntar,62.14,117.63,17.31,62,43,2.47
Nantucket,41.28,-70.1,23.15,94,1,4.6
Toulouse,43.6,1.44,24.39,57,45,5.1
Dzhebariki-Khaya,62.22,135.8,23.26,33,0,0.34
Linfen,36.09,111.52,27.43,61,96,1.27
Uyuni,-20.46,-66.83,5.95,37,0,4.36
Poum,-20.23,164.02,23.53,88,42,5.97
Marmaris,36.85,28.27,24.16,88,0,6.2
Saint-Pierre,-21.34,55.48,15.52,72,75,3.1
Usinsk,65.99,57.53,11.8,80,33,2.05
Zeya,53.75,127.27,22.58,89,100,2.4
Longhua,23.61,114.19,30.94,60,5,3.12
Rosário do Sul,-30.26,-54.91,8.92,87,0,5.76
Kathmandu,27.72,85.32,21.0,100,75,1.5
Muros,42.78,-9.06,16.67,93,90,1.5
Deputatsky,69.3,139.9,10.78,60,5,1.72
Bilibino,68.05,166.44,11.23,58,80,2.29
Kahului,20.89,-156.47,27.45,52,40,10.8
Sibolga,1.74,98.78,25.69,75,99,1.34
Santa Rosa,14.31,121.11,28.13,88,100,1.0
St. George's,12.06,-61.75,27.0,83,40,7.2
Barra de Tecoanapa,16.52,-98.75,30.13,69,66,2.91
Allāpalli,19.42,80.07,25.97,89,100,0.97
Qasigiannguit,68.82,-51.19,8.0,65,23,1.0
Aksu,41.12,80.26,25.5,23,19,2.21
Venado Tuerto,-33.75,-61.97,6.11,56,89,1.34
Nautla,20.22,-96.78,28.88,73,0,5.55
Sembakung,3.82,117.25,24.57,94,100,1.03
Antalaha,-14.9,50.28,19.02,86,0,2.62
Pionerskiy,54.95,20.23,15.0,82,75,5.0
Mercedes,-34.65,-59.43,8.06,55,0,0.89
Pak Phanang,8.35,100.2,27.0,94,20,4.35
Mersin Province,36.86,34.65,27.0,88,40,1.0
Uribia,11.71,-72.27,27.92,78,67,4.23
Evansville,37.97,-87.56,26.81,69,75,3.1
Puerto Ayacucho,5.66,-67.62,29.0,66,40,2.1
Mizdah,31.45,12.98,21.27,69,0,3.84
Curvelo,-18.76,-44.43,19.0,68,0,3.08
Hokitika,-42.72,170.97,13.2,64,100,3.01
Pedregulho,-20.26,-47.48,18.77,59,52,4.02
Ayabaca,-4.64,-79.71,10.87,97,16,2.8
Illapel,-31.63,-71.17,12.63,61,100,0.81
Sibu,2.3,111.82,25.0,88,40,2.6
Yagodnoye,62.55,149.67,9.12,59,100,4.18
Lobito,-12.35,13.55,20.73,83,0,3.27
Lüderitz,-26.65,15.16,26.0,15,0,7.2
Clyde River,70.47,-68.59,3.0,100,90,5.7
Montgomery,39.15,-77.2,28.3,62,40,3.1
Nouadhibou,20.93,-17.03,23.0,83,40,3.6
Grindavik,63.84,-22.43,10.0,93,75,3.6
La Ronge,55.1,-105.28,24.0,60,75,4.1
Barcelona,41.39,2.16,26.9,53,0,4.1
Aykhal,66.0,111.5,16.0,55,0,2.0
Puerto del Rosario,28.5,-13.86,23.0,78,20,7.2
Cidreira,-30.18,-50.21,13.41,78,0,6.7
North Bay,46.32,-79.47,21.31,83,40,3.68
Esperance,-33.87,121.9,10.0,100,98,2.6
North Bend,43.41,-124.22,19.78,82,20,5.7
Ocampo,21.65,-101.5,18.88,67,95,5.19
Ljungby,56.83,13.94,13.22,93,99,4.6
Biak,-0.91,122.88,24.28,91,100,2.15
Kaitangata,-46.28,169.85,11.67,79,99,1.79
Taksimo,56.34,114.88,17.2,88,99,0.73
Montepuez,-13.13,39.0,16.9,65,0,4.68
Adré,13.47,22.2,22.21,85,100,4.4
Smithers,54.78,-127.17,28.0,34,20,2.1
Vila Franca do Campo,37.72,-25.43,21.0,77,20,3.1
Rawson,-43.3,-65.1,7.93,54,100,5.03
Elk Plain,47.05,-122.4,31.23,29,1,1.5
Ankpa,7.37,7.63,21.52,97,100,3.05
Gamba,-2.65,10.0,21.66,83,54,2.67
Moshenskoye,58.51,34.59,12.12,96,100,3.6
Ternate,0.8,127.4,27.48,76,74,1.98
Malbork,54.04,19.03,11.85,79,54,0.89
Praia da Vitória,38.73,-27.07,22.0,78,75,4.6
Miandrivazo,-19.52,45.47,18.74,79,0,0.58
Thinadhoo,0.53,72.93,28.28,74,68,4.38
Meadow Lake,34.8,-106.54,34.38,5,20,6.7
San Francisco,37.77,-122.42,17.2,63,20,10.3
Geraldton,-28.77,114.6,10.0,93,93,3.1
Walvis Bay,-22.96,14.51,21.0,21,0,7.2
Chifeng,42.27,118.96,26.92,52,100,3.29
Melfi,41.0,15.65,26.7,61,5,0.5
Kapoeta,4.77,33.59,23.02,75,46,2.19
Kostino,58.91,53.27,15.15,94,100,3.43
Cayenne,4.93,-52.33,26.0,94,21,1.5
Kidodi,-7.6,37.0,20.03,81,54,0.33
Agüimes,27.91,-15.45,22.66,73,75,9.8
Kiruna,67.86,20.23,9.0,81,19,1.88
Sokolo,14.73,-6.12,30.34,51,9,2.93
Alim,9.56,122.49,28.73,75,100,4.86
Kinablangan,7.69,126.55,27.31,76,99,2.47
Kuching,1.55,110.33,25.0,88,20,2.1
Tiarei,-17.53,-149.33,28.0,74,75,4.1
Nador,35.17,-2.93,25.08,88,20,1.0
Morgan City,29.7,-91.21,29.33,83,20,4.1
Gaza,31.5,34.47,23.94,58,0,0.61
Mt. Pleasant,32.79,-79.86,27.82,83,20,4.1
Yanaul,56.27,54.93,15.88,97,100,3.73
Bundaberg,-24.85,152.35,20.0,56,2,6.7
Brae,60.4,-1.35,13.0,87,100,5.7
Payo,-3.75,103.64,23.9,83,100,0.33
Kozhva,65.11,57.05,12.06,76,73,2.6
Sambava,-14.27,50.17,20.27,86,9,3.35
Pierre,44.37,-100.35,28.49,42,1,2.1
Taoudenni,22.68,-3.98,33.66,33,89,5.07
Dapaong,10.86,0.2,24.62,81,81,3.87
Aripuanã,-9.17,-60.63,25.36,38,0,1.05
Sobolevo,54.43,31.9,10.3,94,0,3.54
Mackay,-21.15,149.2,19.87,68,42,6.2
Polonnaruwa,7.93,81.0,25.89,74,29,4.25
Kiryat Gat,31.61,34.76,24.11,58,0,0.96
Leer,8.3,30.14,21.51,91,100,0.12
Tanout,14.97,8.89,31.58,30,1,1.97
Portland,45.52,-122.68,34.66,26,20,4.1
Omsukchan,62.53,155.8,6.43,82,100,5.92
Asmara,15.33,38.93,14.08,98,100,3.36
Saldanha,-33.01,17.94,10.0,87,0,2.1
Moyo,3.66,31.72,17.46,98,0,0.45
São João da Barra,-21.64,-41.05,20.04,83,89,10.1
Basoko,1.24,23.62,23.12,79,0,0.92
Petropavlovsk-Kamchatskiy,53.05,158.65,15.0,100,90,3.0
Bontang,0.13,117.5,24.88,89,100,3.89
Troitskoye,52.98,84.68,14.63,71,2,1.62
Fastovetskaya,45.92,40.16,21.33,47,0,1.31
Ambon City,-3.7,128.18,27.13,83,40,4.1
Payakumbuh,-0.22,100.63,23.35,81,93,0.55
Malaṅgawā,26.86,85.56,27.46,82,100,2.78
Massakory,13.0,15.73,25.99,65,100,5.59
Touros,-5.2,-35.46,23.0,78,40,3.6
Harper,4.38,-7.72,24.09,85,94,3.3
Panguna,-6.32,155.48,27.35,70,81,0.92
Zharkent,44.16,80.0,23.75,26,100,1.54
Bintulu,3.17,113.03,23.94,94,20,2.1
Chodavaram,17.83,82.95,27.0,94,40,1.5
Tambopata,-12.73,-69.18,18.7,66,0,0.73
Raton,36.9,-104.44,26.09,30,40,8.7
Shingū,33.73,135.98,30.0,70,40,3.1
Ende,-8.84,121.66,25.1,65,88,1.56
Virginia Beach,36.85,-75.98,30.06,73,17,4.71
Nanortalik,60.14,-45.24,6.59,87,100,3.4
Brentwood,40.78,-73.25,27.26,83,90,3.1
Ponta Delgada,37.73,-25.67,21.0,77,20,3.1
Bonito,-21.12,-56.48,19.22,60,0,1.42
Vavozh,56.78,51.93,14.86,97,100,3.32
Severo-Kuril'sk,50.68,156.12,13.69,89,97,4.08
Gushikawa,26.35,127.87,30.27,79,1,6.2
Kohima,25.67,94.12,19.56,100,100,0.26
San Felipe,10.34,-68.74,23.94,83,97,2.16
Uíge,-7.61,15.06,15.6,68,0,1.13
Anadyr,64.75,177.48,13.94,62,75,3.0
Vitim,59.45,112.56,16.42,86,100,5.3
Nyurba,63.28,118.33,16.03,66,0,2.77
Homer,59.64,-151.55,17.76,63,75,7.2
Baie-Comeau,49.22,-68.15,16.0,100,90,1.0
Madimba,-10.4,40.33,22.6,79,0,6.24
Porto Recanati,43.44,13.66,25.28,78,0,2.1
Zdvinsk,54.7,78.66,11.58,90,100,7.12
Coolum Beach,-26.53,153.1,18.53,62,84,3.58
Husavik,66.04,-17.34,9.0,93,40,1.32
Bonavista,48.65,-53.11,12.78,74,100,0.45
San Ramon,37.78,-121.98,28.14,15,1,6.2
Puerto Asís,0.51,-76.5,26.0,74,75,1.0
Kichera,55.94,110.1,19.09,76,100,0.78
Makakilo City,21.35,-158.09,28.98,51,75,3.1
Malakal,9.53,31.66,22.14,91,100,1.06
Newport,51.59,-3.0,14.62,79,20,1.26
Banyo,6.75,11.82,18.55,83,100,0.73
Calvinia,-31.47,19.78,8.77,42,0,0.81
Karasjok,69.47,25.51,9.0,87,38,5.7
São Félix do Xingu,-6.64,-51.99,24.26,45,65,0.43
Inhambane,-23.86,35.38,17.85,85,0,4.04
Umluj,25.02,37.27,29.3,76,96,1.22
Saint Anthony,45.02,-93.22,25.93,44,40,3.6
Avera,33.19,-82.53,27.34,74,40,4.31
Vinh,18.67,105.67,29.05,73,100,2.66
Monrovia,6.3,-10.8,24.0,94,75,3.26
Berlevåg,70.86,29.09,11.0,87,75,3.1
Alofi,-19.06,-169.92,24.0,60,40,6.2
Kuril'sk,45.23,147.88,17.85,84,69,4.58
Yizheng,24.67,103.43,19.67,87,36,0.83
Aljezur,37.32,-8.8,22.22,81,3,3.01
Sinop Province,41.77,34.87,17.24,87,26,0.74
Makar'yev,57.88,43.81,11.47,92,97,2.78
Boa Vista,2.82,-60.67,30.0,58,14,2.6
Dongling,41.81,123.58,27.0,74,16,6.0
Padang,-0.95,100.35,23.0,94,20,2.1
Umba,66.69,34.34,9.44,82,10,6.55
Pringsewu,-5.36,104.97,24.61,77,100,2.85
General Roca,-39.03,-67.58,9.0,57,100,1.5
The Pas,53.83,-101.25,28.0,58,75,2.6
Qaqortoq,60.72,-46.03,9.0,76,100,4.1
Jaru,-10.44,-62.47,25.53,37,0,1.22
Palora,-1.7,-77.93,19.0,93,90,0.86
Sorong,-0.88,131.25,27.68,79,64,4.67
Mehamn,71.04,27.85,11.0,87,75,3.1
Samarai,-10.62,150.67,24.16,71,100,7.3
Pagėgiai,55.14,21.91,13.16,90,42,4.61
Itarema,-2.92,-39.92,25.75,75,39,6.02
Ust-Kuyga,70.02,135.6,11.33,69,100,2.29
Santa Vitória do Palmar,-33.52,-53.37,7.82,87,0,4.1
Eresós,39.17,25.93,26.0,65,0,4.6
City of San Pedro,14.35,121.02,28.1,88,99,1.0
Belyy Yar,53.6,91.39,16.0,82,100,3.0
Bom Jesus,-9.07,-44.36,21.03,52,0,0.84
Rocha,-34.48,-54.33,4.42,90,0,3.07
Saquarema,-22.92,-42.51,19.0,88,90,5.7
Weligama,5.97,80.42,25.99,89,100,4.7
Amapá,1.0,-52.0,22.89,92,100,1.02
Mwandiga,-4.83,29.66,23.25,58,28,2.1
Masuda,34.67,131.85,29.0,79,75,3.1
Cururupu,-1.83,-44.87,23.85,92,95,1.13
Sovetskaya,44.78,41.17,16.75,66,0,1.47
Dunkirk,51.05,2.37,17.94,79,0,4.12
Port-Gentil,-0.72,8.78,24.0,83,20,5.96
Klaksvík,62.23,-6.59,10.0,93,100,5.7
Kendari,-3.94,122.5,26.67,75,52,2.07
Seybaplaya,19.65,-90.67,30.0,79,40,3.1
Araouane,18.9,-3.53,35.78,30,0,7.16
Balkhash,46.84,74.98,21.63,44,100,4.37
Taganak,6.08,118.3,26.83,88,20,1.5
Pisco,-13.7,-76.22,16.05,77,5,7.2
Boyolangu,-8.12,111.89,22.87,86,68,2.02
Bataiporã,-22.3,-53.27,18.25,71,26,3.49
Mwinilunga,-11.74,24.43,11.74,59,0,2.53
Itoman,26.12,127.67,30.39,74,40,5.7
Grand Gaube,-20.01,57.66,20.0,85,0,1.34
La Cumbre,-30.98,-64.49,9.73,45,0,4.6
Moba,33.23,105.02,22.22,90,15,0.17
Balkanabat,39.51,54.37,24.59,39,0,1.03
Gisborne,-38.65,178.0,15.0,50,80,4.92
Nakusp,50.25,-117.8,31.11,43,26,0.89
Kurkino,53.43,38.66,12.39,95,0,2.88
Raudeberg,61.99,5.14,13.71,87,84,2.1
Slave Lake,55.28,-114.77,24.0,50,1,2.1
Shestakovo,56.49,103.96,20.5,66,92,1.84
Ucluelet,48.93,-125.55,23.57,49,5,4.6
Byron Bay,-28.65,153.62,16.65,63,42,5.7
Bereda,43.27,-7.54,16.64,89,0,0.45
Flinders,-34.58,150.86,14.44,60,20,2.24
Trairi,-3.28,-39.27,25.73,73,0,6.12
Egvekinot,66.32,-179.17,10.18,61,15,1.69
Gravdal,68.12,13.5,14.97,75,100,1.67
Morgantown,39.63,-79.96,20.61,83,20,1.5
Ceres,37.59,-120.96,35.59,18,1,5.7
Harnai,30.1,67.94,29.97,50,0,1.14
Port Hardy,50.7,-127.42,22.0,60,5,4.6
Quang Ngai,15.12,108.8,26.0,87,100,1.21
Luwuk,-0.95,122.79,24.87,87,100,2.29
Neustadt an der Waldnaab,49.71,12.09,13.6,87,1,1.3
Riohacha,11.54,-72.91,27.12,85,48,1.25
Magnor,59.95,12.2,14.12,82,0,4.1
